,,Degree,,,,,,Master,,,,,,,Doctor Degree,,,,,,Atuação Profissional,,,,Acacia (cons. em 18/7/24),,,,,,,,,
Surname,Name,CourseG,InstitutionG,StartG,EndG,2nd CourseG,2nd Institution,CourseM,InstitutionM,AdvisorM,StartM,EndM,2nd CourseM,2nd InstitutionM,CourseD,CountryD,InstitutionD,AdvisorD,StartD,EndD,InstitutionP,StartP,EndP,2nd InstitutionP,Ds,IG,OBS,entries_sian,BR_DFANBSB_N8_ou_V8_entries_50_79,,,,,
Salenbauch,Pedro,Eng. Eletrônica,ITA,,1969,,,Engenharia de Sistemas e Computação,UFRJ,Denis França Leite,,1972,,,Engenharia de Sistemas e Computação,BR,UFRJ,Newton Faller,,1988,UFRJ,,,,,,,0,,,,,,
Kowaltowski,Tomasz,Eng. Eletrônica,USP,1962,1966,,,Ciência da Computação,U.C. Berkeley,"James H. Morris, Jr.",1969,1970,,,Ciência da Computação,US,U.C. Berkeley,"James H. Morris, Jr.",1970,1973,Unicamp,1977,,USP,616,8,,1,manifesto de profs. da USP (morte Wladimir Herzog),BR_DFANBSB_V8_MIC_GNC_EEE_81006215,,,,
Stolfi,Jorge,Eng. Eletrônica,,1969,1973,,,Matemática Aplicada,USP,Tomasz Kowaltowski,1974,1979,,,Comp. Sc.,US,Stanford Univ.,Leonidas John Guibas,1979,1988,Unicamp,1992,,,64,4,,0,,,,,,
Medeiros,Cláudia Maria Bauzer,Eng. Elétrica,PUC-Rio,1972,1976,,,Informática,PUC-Rio,Carlos José Pereira de Lucena,1977,1979,,,Comp. Sc.,CA,Univ. of Waterloo,Frank William Tompa,1981,1985,UNICAMP,1989,-,,405,9,,0,,,,,,
Koo,Robert Liang,Eng. Eletrônica,ITA,1967,1971,,,Eng. Elétrica,UNICAMP,Manoel Sobral Júnior,1972,1974,,,Electrical And Computer Engineering,US,Carnegie Mellon University,Sarosh Talukdar,1974,1978,SDC Eng.,1982,,IPT,755,3,,0,,,,,,
Setzer,Valdemar Waingort,Eng. Eletrônica,ITA,1959,1963,,,,,,,,,,Matemática Aplicada,BR,USP,Ivan Queiroz Barros,1964,1967,USP,1964,1995,,354,5,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,"BR DFANBSB V8.MIC, GNC.EEE.79000393 - Dossiê",,,,
Song,Siang Wun,Eng. Elétrica,USP,1966,1970,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,1971,1975,,,Ciência da Computação,US,Carnegie Mellon University,H. T. Kung,1976,1981,USP,1971,-,,67,3,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,"BR DFANBSB V8.MIC, GNC.EEE.79000393 - Dossiê",,,,
Lucchesi,Cláudio Leonardo,Eng. Eletrônica,USP,1964,1968,,,Comp. Sc.,Univ. of Waterloo,Tomasz Pietrzykowski,1970,1971,,,Comp. Sc.,CA,Univ. of Waterloo,Daniel Haven Younger,1971,1976,UNICAMP,1971,-,,178,6,,2,citado em depoimento de ex-alunos da univ. Patrice Lumumba,,,,,
Terada,Routo,Eng. Eletrônica,USP,1966,1970,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,1971,1975,,,Comp. Sc.,US,University of Wisconsin,Lawrence Landweber,1975,1979,USP,1971,-,,149,5,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,"BR DFANBSB V8.MIC, GNC.EEE.79000393 - Dossiê",,,,
Bressan,Graça,Licenciatura em Matemática,USP,1968,1971,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,1972,1977,,,Eng. Elétrica,BR,USP,Wilson Vicente Ruggiero,1979,1986,USP,1974,,,75,3,,2,manifesto de profs. da USP (morte Wladimir Herzog) e citada no doc. sobre infiltração (ver Setzer),,,,,
Ripper,Mario Dias,Eng. Eletrônica,ITA,,1964,,,,École Superieure de L'Aeronautique,,,1966,,,,US,Universidade da Califórnia,,,1973,SERPRO,,,,,,1° editor Dados e Ideias,1,,,,,,
Ferrareto,Mario Dias,Bacharelado em Física,USP,,1972,,,Eng. Elétrica,USP,José Rubens Dória Porto,,1976,,,Eng. Elétrica,BR,USP,José Rubens Dória Porto,,1980,USP,,,,3,1,,0,,,,,,
